HideoutNPCsKey,Order,AddMod,Cost_BaseItemTypesKeys,Cost_Values,RequiredLevel,Name,CraftingBenchCustomAction,ItemClassesKeys,Links,SocketColours,Sockets,ItemQuantity,Unknown0,Description,IsDisabled,IsAreaOption,RecipeIds,Tier,CraftingItemClassCategoriesKeys,MaximumMapTier,CraftingBenchUnlockCategoriesKey,UnveilsRequired,UnveilsRequired2,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,AddEnchantment,SortCategory,Unknown9,Unknown10
"<4, 0>",12,"<null, null>","[<19, 0>]",[120],0,Au moins trois châsses Rouges,7,[],0,RRR,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",13,"<null, null>","[<19, 0>]",[4],0,Au moins une châsse Verte,7,[],0,G,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",14,"<null, null>","[<19, 0>]",[25],0,Au moins deux châsses Vertes,7,[],0,GG,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",15,"<null, null>","[<19, 0>]",[120],0,Au moins trois châsses Vertes,7,[],0,GGG,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",16,"<null, null>","[<19, 0>]",[4],0,Au moins une châsse Bleue,7,[],0,B,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",17,"<null, null>","[<19, 0>]",[25],0,Au moins deux châsses Bleues,7,[],0,BB,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",18,"<null, null>","[<19, 0>]",[120],0,Au moins trois châsses Bleues,7,[],0,BBB,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",19,"<null, null>","[<19, 0>]",[15],0,Au moins une châsse Rouge et une Verte,7,[],0,RG,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",20,"<null, null>","[<19, 0>]",[15],0,Au moins une châsse Rouge et une Bleue,7,[],0,RB,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",21,"<null, null>","[<19, 0>]",[15],0,Au moins une châsse Verte et une Bleue,7,[],0,GB,0,0,[],,False,False,[245],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",22,"<null, null>","[<19, 0>]",[100],0,Au moins deux châsses Rouges et une Verte,7,[],0,RRG,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",23,"<null, null>","[<19, 0>]",[100],0,Au moins deux châsses Rouges et une Bleue,7,[],0,RRB,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",24,"<null, null>","[<19, 0>]",[100],0,Au moins deux châsses Vertes et une Rouge,7,[],0,GGR,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",25,"<null, null>","[<19, 0>]",[100],0,Au moins deux châsses Vertes et une Bleue,7,[],0,GGB,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",26,"<null, null>","[<19, 0>]",[100],0,Au moins deux châsses Bleues et une Verte,7,[],0,BBG,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<4, 0>",27,"<null, null>","[<19, 0>]",[100],0,Au moins deux châsses Bleues et une Rouge,7,[],0,BBR,0,0,[],,False,False,[246],0,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>]",1,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<6, 0>",0,"<8118, 0>",[],[],68,,7,"[<35, 0>, <38, 0>]",0,,0,69,[],,True,True,[],0,"[<14, 0>, <15, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<1576, 0>",False
"<6, 0>",1,"<8119, 0>",[],[],70,,7,"[<35, 0>, <38, 0>]",0,,0,71,[],,True,True,[],0,"[<14, 0>, <15, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<1576, 0>",False
"<6, 0>",2,"<8120, 0>",[],[],72,,7,"[<35, 0>, <38, 0>]",0,,0,73,[],,True,True,[],0,"[<14, 0>, <15, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<1576, 0>",False
"<6, 0>",3,"<8121, 0>",[],[],74,,7,"[<35, 0>, <38, 0>]",0,,0,75,[],,True,True,[],0,"[<14, 0>, <15, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<1576, 0>",False
"<6, 0>",4,"<8122, 0>",[],[],76,,7,"[<35, 0>, <38, 0>]",0,,0,77,[],,True,True,[],0,"[<14, 0>, <15, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<1576, 0>",False
"<6, 0>",5,"<8123, 0>",[],[],78,,7,"[<35, 0>, <38, 0>]",0,,0,79,[],,True,True,[],0,"[<14, 0>, <15, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<1576, 0>",False
"<6, 0>",6,"<8124, 0>",[],[],80,,7,"[<35, 0>, <38, 0>]",0,,0,81,[],,True,True,[],0,"[<14, 0>, <15, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<1576, 0>",False
"<6, 0>",7,"<8125, 0>",[],[],82,,7,"[<35, 0>, <38, 0>]",0,,0,100,[],,True,True,[],0,"[<14, 0>, <15, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<1576, 0>",False
"<6, 0>",8,"<null, null>","[<2, 0>]",[3],72,La Fortune sourit aux Audacieux,2,"[<35, 0>]",0,,0,0,[],"Applique au hasard l'une des options de la liste ci-dessous, y compris celles que vous n'avez pas encore débloquées.",True,False,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],"[<8035, 0>]",1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<6, 0>",9,"<null, null>","[<2, 0>]",[1],101,Nouvelle Carte du même palier (1 à 10),3,"[<35, 0>]",0,,0,0,[],"Nécessite une Carte rare de palier 10 ou moins. Ouvre une autre Carte rare du même palier, tirée au hasard et différente de celle que vous mettez dans le Dispositif cartographique.",True,False,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<6, 0>",10,"<null, null>","[<2, 0>]",[2],101,Carte façonnée (palier 1 à 5),4,"[<35, 0>]",0,,0,0,[],Nécessite une Carte Rare de palier 5 ou moins. Ouvre une nouvelle version de votre Carte avec 5 paliers supplémentaires et des mods tirés au hasard.,True,False,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<6, 0>",11,"<null, null>","[<2, 0>]",[6],101,Carte façonnée (palier 1 à 10),5,"[<35, 0>]",0,,0,0,[],"Nécessite une Carte Rare de palier 10 ou moins. Ouvre une nouvelle version de votre Carte avec 5 paliers supplémentaires, des mods tirés au hasard et des chances d'être corrompue.",True,False,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<6, 0>",12,"<null, null>","[<2, 0>]",[15],101,Carte de l'Ancien (palier 1 à 15),6,"[<35, 0>]",0,,0,0,[],"Nécessite une Carte Rare de palier 15 ou moins. Ouvre une nouvelle version de votre Carte en la mettant au palier 16, en lui donnant des mods tirés au hasard et des chances d'être corrompue.",True,False,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<3, 0>","<null, null>",False
"<6, 0>",13,"<8163, 0>",[],[],68,Anarchy infusée,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],"[<7182, 0>]",1161,1161,True,"<null, null>","<null, null>","<0, 0>","<1828, 0>",False
"<6, 0>",14,"<8157, 0>",[],[],68,Nemesis infusée,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],"[<7182, 0>]",1161,1161,True,"<null, null>","<null, null>","<0, 0>","<1814, 0>",False
"<6, 0>",15,"<8151, 0>",[],[],68,Domination infusée,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],"[<7182, 0>]",1161,1161,True,"<null, null>","<null, null>","<0, 0>","<1811, 0>",False
"<6, 0>",16,"<8247, 0>",[],[],68,Bloodlines infusée,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],"[<7182, 0>]",1161,1161,True,"<null, null>","<null, null>","<0, 0>","<1853, 0>",False
"<6, 0>",17,"<8176, 0>",[],[],68,Rampage infusée,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],"[<7182, 0>]",1161,1161,True,"<null, null>","<null, null>","<0, 0>","<1829, 0>",False
"<6, 0>",18,"<8146, 0>",[],[],68,Ambush infusée,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],"[<7182, 0>]",1161,1161,True,"<null, null>","<null, null>","<0, 0>","<1809, 0>",False
"<6, 0>",19,"<12925, 0>",[],[],68,Harbinger infusée,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],"[<7182, 0>]",1161,1161,True,"<null, null>","<null, null>","<0, 0>","<4621, 0>",False
"<6, 0>",20,"<12241, 0>","[<2, 0>]",[2],69,Breach,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],308,1161,False,"<null, null>","<null, null>","<0, 0>","<4187, 0>",False
"<6, 0>",21,"<11941, 0>","[<2, 0>]",[3],71,Essence,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],297,1161,False,"<null, null>","<null, null>","<0, 0>","<3998, 0>",False
"<6, 0>",22,"<8246, 0>","[<2, 0>]",[3],73,Bloodlines,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],300,1161,False,"<null, null>","<null, null>","<0, 0>","<1853, 0>",False
"<6, 0>",23,"<8145, 0>","[<2, 0>]",[4],76,Ambush,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],305,1161,False,"<null, null>","<null, null>","<0, 0>","<1809, 0>",False
"<6, 0>",24,"<8177, 0>","[<2, 0>]",[5],79,Beyond,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],302,1161,False,"<null, null>","<null, null>","<0, 0>","<1830, 0>",False
"<6, 0>",25,"<19498, 0>","[<2, 0>]",[6],82,Legion,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],303,1161,False,"<null, null>","<null, null>","<0, 0>","<6816, 0>",False
"<6, 0>",26,"<19649, 0>","[<2, 0>]",[8],83,Blight,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],316,1161,False,"<null, null>","<null, null>","<0, 0>","<4285, 0>",False
"<6, 0>",27,"<8165, 0>","[<2, 0>]",[2],101,Onslaught,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],304,1161,False,"<null, null>","<null, null>","<0, 0>","<1816, 0>",False
"<6, 0>",28,"<13767, 0>","[<2, 0>]",[2],101,Abyss,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],310,1161,False,"<null, null>","<null, null>","<0, 0>","<4932, 0>",False
"<6, 0>",29,"<8162, 0>","[<2, 0>]",[2],101,Anarchy,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],298,1161,False,"<null, null>","<null, null>","<0, 0>","<1828, 0>",False
"<6, 0>",30,"<8156, 0>","[<2, 0>]",[4],101,Nemesis,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],301,1161,False,"<null, null>","<null, null>","<0, 0>","<1814, 0>",False
"<6, 0>",31,"<8412, 0>","[<2, 0>]",[5],101,Torment,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],309,1161,False,"<null, null>","<null, null>","<0, 0>","<1984, 0>",False
"<6, 0>",32,"<8150, 0>","[<2, 0>]",[3],101,Domination,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],299,1161,False,"<null, null>","<null, null>","<0, 0>","<1811, 0>",False
"<6, 0>",33,"<8143, 0>","[<2, 0>]",[2],101,Invasion,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],311,1161,False,"<null, null>","<null, null>","<0, 0>","<1807, 0>",False
"<6, 0>",34,"<8175, 0>","[<2, 0>]",[2],101,Rampage,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],312,1161,False,"<null, null>","<null, null>","<0, 0>","<1829, 0>",False
"<6, 0>",35,"<8602, 0>","[<2, 0>]",[4],101,Tempest,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],313,1161,False,"<null, null>","<null, null>","<0, 0>","<2116, 0>",False
"<6, 0>",36,"<11172, 0>","[<13, 0>]",[3],101,Talisman,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],314,1161,False,"<null, null>","<null, null>","<0, 0>","<3541, 0>",False
"<6, 0>",37,"<21542, 0>","[<2, 0>]",[5],101,Metamorph,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],661,1161,False,"<null, null>","<null, null>","<0, 0>","<7661, 0>",False
"<6, 0>",38,"<20714, 0>","[<2, 0>]",[16],101,Delirium,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],745,1161,False,"<null, null>","<null, null>","<0, 0>","<7121, 0>",False
"<6, 0>",39,"<12924, 0>","[<2, 0>]",[4],101,Harbinger,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],315,1161,False,"<null, null>","<null, null>","<0, 0>","<4621, 0>",False
"<6, 0>",40,"<21457, 0>","[<2, 0>]",[12],101,Harvest,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1106,1161,False,"<null, null>","<null, null>","<0, 0>","<7582, 0>",False
"<6, 0>",41,"<8866, 0>","[<2, 0>]",[2],101,Warbands,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],306,1161,False,"<null, null>","<null, null>","<0, 0>","<2361, 0>",False
"<6, 0>",42,"<22946, 0>","[<2, 0>]",[13],101,Ritual,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1114,1161,False,"<null, null>","<null, null>","<0, 0>","<8740, 0>",False
"<6, 0>",43,"<21453, 0>","[<2, 0>]",[6],101,Heist,7,"[<35, 0>]",0,,0,0,[],,True,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1105,1161,False,"<null, null>","<null, null>","<0, 0>","<7579, 0>",False
"<6, 0>",44,"<5093, 0>","[<2, 0>]",[2],101,Vie des Monstres I,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<703, 0>",False
"<6, 0>",45,"<5094, 0>","[<2, 0>]",[2],101,Vie des Monstres II,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<703, 0>",False
"<6, 0>",46,"<5095, 0>","[<2, 0>]",[2],101,Vie des Monstres III,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<703, 0>",False
"<6, 0>",47,"<5096, 0>","[<2, 0>]",[2],101,Vie des Monstres IV,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<703, 0>",False
"<6, 0>",48,"<5117, 0>","[<2, 0>]",[2],101,Dégâts des Monstres I,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<707, 0>",False
"<6, 0>",49,"<5118, 0>","[<2, 0>]",[2],101,Dégâts des Monstres II,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<707, 0>",False
"<6, 0>",50,"<5119, 0>","[<2, 0>]",[2],101,Dégâts des Monstres III,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<707, 0>",False
"<6, 0>",51,"<5120, 0>","[<2, 0>]",[2],101,Dégâts des Monstres IV,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<707, 0>",False
"<6, 0>",52,"<4960, 0>","[<2, 0>]",[6],101,La Zone est habitée par des Araignées,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<649, 0>",False
"<6, 0>",53,"<4961, 0>","[<2, 0>]",[6],101,La Zone est habitée par des Gardes noirs,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<650, 0>",False
"<6, 0>",54,"<4959, 0>","[<2, 0>]",[6],101,La Zone est habitée par des Bandits,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<0, 0>","<622, 0>",False
"<6, 0>",55,"<4930, 0>","[<2, 0>]",[2],101,Totems supplémentaires,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<1, 0>","<614, 0>",False
"<6, 0>",56,"<4937, 0>","[<2, 0>]",[3],101,Exilés renégats supplémentaires,7,"[<35, 0>]",0,,0,0,[],,False,True,[],0,"[<14, 0>]",0,"<null, null>",0,0,[],[],1161,1161,False,"<null, null>","<null, null>","<1, 0>","<1617, 0>",False
