BaseItemTypesKey,ItemCurrentLevel,Experience
"<5058, 0>",4,852804
"<5058, 0>",5,1241538
"<5058, 0>",6,1718975
"<5058, 0>",7,2302761
"<5058, 0>",8,3013120
"<5058, 0>",9,4368631
"<5058, 0>",10,5507508
"<5058, 0>",11,6875741
"<5058, 0>",12,8514079
"<5058, 0>",13,10470727
"<5058, 0>",14,14125911
"<5058, 0>",15,17143238
"<5058, 0>",16,24863364
"<5058, 0>",17,39921819
"<5058, 0>",18,65886037
"<5058, 0>",19,128346808
"<5058, 0>",20,339855551
"<5059, 0>",1,0
"<5059, 0>",2,285815
"<5059, 0>",3,538410
"<5059, 0>",4,852804
"<5059, 0>",5,1241538
"<5059, 0>",6,1718975
"<5059, 0>",7,2302761
"<5059, 0>",8,3013120
"<5059, 0>",9,4368631
"<5059, 0>",10,5507508
"<5059, 0>",11,6875741
"<5059, 0>",12,8514079
"<5059, 0>",13,10470727
"<5059, 0>",14,14125911
"<5059, 0>",15,17143238
"<5059, 0>",16,24863364
"<5059, 0>",17,39921819
"<5059, 0>",18,65886037
"<5059, 0>",19,128346808
"<5059, 0>",20,339855551
"<5061, 0>",1,0
"<5061, 0>",2,70
"<5061, 0>",3,378
"<5061, 0>",4,1932
"<5061, 0>",5,8599
"<5061, 0>",6,34646
"<5061, 0>",7,84371
"<5061, 0>",8,180085
"<5061, 0>",9,349680
"<5061, 0>",10,633439
"<5061, 0>",11,1087435
"<5061, 0>",12,1790563
"<5061, 0>",13,2851786
"<5061, 0>",14,4917656
"<5061, 0>",15,7424766
"<5061, 0>",16,13223702
"<5061, 0>",17,28307621
"<5061, 0>",18,56100356
"<5061, 0>",19,99970095
"<5061, 0>",20,342051651
"<5062, 0>",1,0
"<5062, 0>",2,9569
"<5062, 0>",3,37758
"<5062, 0>",4,96904
"<5062, 0>",5,208096
"<5062, 0>",6,401896
"<5062, 0>",7,722176
"<5062, 0>",8,1081266
"<5062, 0>",9,1579774
"<5062, 0>",10,2261831
"<5062, 0>",11,3183608
"<5062, 0>",12,4911487
"<5062, 0>",13,6703256
"<5062, 0>",14,9056935
"<5062, 0>",15,12127847
"<5062, 0>",16,21223313
"<5062, 0>",17,37263203
"<5062, 0>",18,67080320
"<5062, 0>",19,129975376
"<5062, 0>",20,342026975
"<5063, 0>",1,0
"<5063, 0>",2,70
"<5063, 0>",3,378
"<5063, 0>",4,1932
"<5063, 0>",5,8599
"<5063, 0>",6,34646
"<5063, 0>",7,84371
"<5063, 0>",8,180085
"<5063, 0>",9,349680
"<5063, 0>",10,633439
"<5063, 0>",11,1087435
"<5063, 0>",12,1790563
"<5063, 0>",13,2851786
"<5063, 0>",14,4917656
"<5063, 0>",15,7424766
"<5063, 0>",16,13223702
"<5063, 0>",17,28307621
"<5063, 0>",18,56100356
"<5063, 0>",19,99970095
"<5063, 0>",20,342051651
"<5064, 0>",1,0
"<5064, 0>",2,3231
"<5064, 0>",3,12800
"<5064, 0>",4,40989
"<5064, 0>",5,100135
"<5064, 0>",6,211327
"<5064, 0>",7,405127
"<5064, 0>",8,725407
"<5064, 0>",9,1233246
"<5064, 0>",10,1787625
"<5064, 0>",11,2542674
"<5064, 0>",12,3559207
"<5064, 0>",13,5457809
"<5064, 0>",14,7421828
"<5064, 0>",15,9995559
"<5064, 0>",16,17606398
"<5064, 0>",17,31043282
"<5064, 0>",18,56093893
"<5064, 0>",19,99961281
"<5064, 0>",20,342039899
"<5065, 0>",1,0
"<5065, 0>",2,15249
"<5065, 0>",3,56766
"<5065, 0>",4,138749
"<5065, 0>",5,286717
"<5065, 0>",6,537274
"<5065, 0>",7,942360
"<5065, 0>",8,1390078
"<5065, 0>",9,2005396
"<5065, 0>",10,2840035
"<5065, 0>",11,4410795
"<5065, 0>",12,6044782
"<5065, 0>",13,8195812
"<5065, 0>",14,11008001
"<5065, 0>",15,16107361
"<5065, 0>",16,25508092
"<5065, 0>",17,40781458
"<5065, 0>",18,67068040
"<5065, 0>",19,129958630
"<5065, 0>",20,342004647
"<5066, 0>",1,0
"<5066, 0>",2,70
"<5066, 0>",3,378
"<5066, 0>",4,1932
"<5066, 0>",5,8599
"<5066, 0>",6,34646
"<5066, 0>",7,84371
"<5066, 0>",8,180085
"<5066, 0>",9,349680
"<5066, 0>",10,633439
"<5066, 0>",11,1087435
"<5066, 0>",12,1790563
"<5066, 0>",13,2851786
"<5066, 0>",14,4917656
"<5066, 0>",15,7424766
