Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunDamageDuringFlaskEffect,1,"[1, 1]",Урон во время действия эффекта флакона - уровень,"[<7, 0>]",Нераскрытое свойство отдельных перчаток Гаффа Гренна
JunDamagePerEnduranceCharge,1,[1],Урон за заряд выносливости,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunDamagePerFrenzyCharge,1,[1],Урон за заряд ярости,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunDamagePerPowerCharge,1,[1],Урон за заряд энергии,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunDamagePlusPercentWithNonVaalSkillsDuringSoulGainPrevention,1,"[1, 1, 1]",Урон не-ваал умениями во время действия предотвращения получения душ - уровень,"[<8, 0>, <7, 0>]",Нераскрытое свойство сапог и перчаток
JunDamageRemovedFromManaBeforeLifeWhileFocused,1,[1],"Пока вы сфокусированы, урон берется сначала из маны вместо здоровья","[<6, 0>]",Нераскрытое свойство нательных доспехов
JunDamageWhileLeeching,1,"[1, 1]",Урон во время похищения - уровень,"[<7, 0>, <10, 0>]",Нераскрытое свойство отдельных перчаток и амулетов Воричи
JunDexterityAndIntelligence,1,"[1, 1, 1]",Ловкость и интеллект - уровень,"[<6, 0>, <8, 0>, <7, 0>, <5, 0>, <4, 0>, <10, 0>, <11, 0>, <9, 0>, <13, 0>]","Нераскрытое свойство нательных доспехов, сапог, перчаток, шлемов, щитов, амулетов, поясов, колец и колчанов"
JunDodgeChanceDuringFocus,1,"[1, 1, 1]","Увеличение уклонения, пока вы сфокусированы - уровень","[<5, 0>, <8, 0>]",Нераскрытое свойство шлемов и сапог
JunDoubleDamageChance,1,"[1, 1]",Шанс нанести двойной урон - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunWolfOnKill,1,[1],Призыв призрачного волка при убийстве,"[<10, 0>]",Нераскрытое свойство отдельных амулетов Тана Йоргина
JunEffectOfAilments,1,"[1, 1]",Эффект не наносящих урон состояний - уровень,"[<8, 0>, <10, 0>]",Нераскрытое свойство сапог и амулетов
JunElementalPenetrationWithAttacks,1,"[1, 1, 1]",Пробивание сопротивления стихиям оружием - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunEnergyShieldRegenerationRatePerMinuteIfRareOrUniqueEnemyNearby,1,"[1, 1, 1]",Регенерация энергетического щита рядом с редким или уникальным врагом  - уровень,"[<6, 0>, <11, 0>]",Нераскрытое свойство нательных доспехов и поясов
JunEvasionRatingAndEnergyShield,1,"[1, 1, 1]",Уклонение и энергетический щит - уровень,"[<11, 0>, <13, 0>]",Нераскрытое свойство поясов и колчанов
JunFireDamageAndChanceToIgnite,1,"[1, 1, 1]",Урон от огня и шанс наложить поджог - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunFlaskEffect,1,"[1, 1, 1]",Эффект флакона - уровень,"[<11, 0>]",Нераскрытое свойство поясов
JunFlaskEffectAndFlaskChargesGained,1,"[1, 1]",Эффект флакона и уменьшение получаемого количества зарядов флакона - уровень,"[<11, 0>]",Нераскрытое свойство поясов
JunFortifyEffectWhileFocused,1,"[1, 1, 1]","Эффект Укрепления, пока вы сфокусированы - уровень","[<6, 0>]",Нераскрытое свойство нательных доспехов
JunGainOnslaughtDuringSoulGainPrevention,1,[1],Эффект Боевого ража во время действия предотвращения получения душ,"[<8, 0>, <7, 0>]",Нераскрытое свойство сапог и перчаток
JunBrandAttachmentRange,1,"[1, 1, 1]",Дальность прикрепления клейма - уровень,"[<10, 0>, <7, 0>]",Нераскрытое свойство амулетов и перчаток
JunGlobalCooldownRecovery,1,"[1, 1]",Скорость перезарядки - уровень,"[<11, 0>]",Нераскрытое свойство поясов
JunImmuneToStatusAilmentsWhileFocused,1,[1],"Иммунитет к состояниям, пока вы сфокусированы","[<8, 0>]",Нераскрытое свойство сапог
JunIncreasedChaosAndPhysicalDamage,1,"[1, 1]",Урон хаосом и физический урон - уровень,"[<9, 0>]",Нераскрытое свойство отдельных колец Ашлинг Лаффрей
JunIncreasedDefencesAndLife,1,"[1, 1, 1]",Защита и здоровье - уровень,"[<6, 0>, <8, 0>, <7, 0>, <5, 0>, <4, 0>]","Нераскрытое свойство нательных доспехов, сапог, перчаток, шлемов и щитов"
JunIncreasedFireAndLightningDamage,1,"[1, 1]",Урон от огня и молнии - уровень,"[<9, 0>]",Нераскрытое свойство отдельных колец Райкера Мэлоуни
JunIncreasedManaAndRegen,1,"[1, 1, 1]",Мана и регенерация маны в секунду - уровень,"[<9, 0>, <10, 0>]",Нераскрытое свойство колец и амулетов
JunItemRarityFromRareAndUniqueEnemies,1,"[1, 1]",Редкость предметов от редких и уникальных врагов - уровень,"[<5, 0>]",Нераскрытое свойство отдельных шлемов Януса Перандуса
JunLifeAddedAsEnergyShield,1,"[1, 1]",Максимум здоровья в виде дополнительного энергетического щита - уровень,"[<6, 0>]",Нераскрытое свойство отдельных нательных доспехов Гравиция Возрождённого
JunLifeLeechFromAnyDamagePermyriadWhileFocused,1,[1],"Соглашение с ваал и похищение урона в виде здоровья, пока вы сфокусированы","[<10, 0>]",Нераскрытое свойство амулетов
JunLifeRegeneration,1,"[1, 1]",Регенерация здоровья - уровень,"[<10, 0>, <4, 0>]",Нераскрытое свойство амулетов и щитов
JunLifeRegenerationPerEvasionDuringFocus,1,[1],"Регенерация уклонения в виде здоровья, пока вы сфокусированы","[<6, 0>]",Нераскрытое свойство нательных доспехов
JunLightningDamageAndChanceToShock,1,"[1, 1, 1]",Урон от молнии и шанс наложить шок - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunLocalFlaskAvoidStunChanceAndMovementSpeedDuringFlaskEffect,1,[1],Шанс избежать оглушения во время действия эффекта флакона,"[<12, 0>]",Нераскрытое свойство флаконов
JunLocalFlaskCriticalStrikeChanceDuringFlaskEffect,1,[1],Уменьшение получаемого отражённого урона во время действия эффекта флакона,"[<12, 0>]",Нераскрытое свойство флаконов
JunLocalFlaskItemFoundRarityDuringFlaskEffect,1,[1],"Редкость предметов, найденных во время действия эффекта флакона","[<12, 0>]",Нераскрытое свойство флаконов
JunLocalFlaskLifeLeechOnDamageTakenDuringFlaskEffect,1,[1],Похищение получаемого урона в виде здоровья во время действия эффекта флакона,"[<12, 0>]",Нераскрытое свойство флаконов
JunLocalFlaskLifeRegenerationPerMinuteDuringFlaskEffect,1,[1],Регенерация здоровья во время действия эффекта флакона,"[<12, 0>]",Нераскрытое свойство флаконов
JunLocalFlaskSkillManaCostDuringFlaskEffect,1,[1],Затраты маны умениями во время действия эффекта флакона,"[<12, 0>]",Нераскрытое свойство флаконов
JunLocalIncreasedPhysicalDamageAndBleedChance,1,"[1, 1, 1]",Физический урон и шанс наложить кровотечение - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunLocalIncreasedPhysicalDamageAndBlindChance,1,"[1, 1, 1]",Физический урон и шанс ослепить - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunLocalIncreasedPhysicalDamageAndImpale,1,"[1, 1, 1]",Физический урон и шанс наложить Прокол - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunLocalIncreasedPhysicalDamageAndPoisonChance,1,"[1, 1, 1]",Физический урон и шанс наложить яд - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunLocalIncreaseSocketedSupportGemLevel,1,"[1, 1]",Уровень камней поддержки - уровень,"[<0, 0>, <2, 0>, <1, 0>, <3, 0>, <4, 0>]",Нераскрытое свойство отдельных видов оружия и щитов Организатора Синдиката
JunLuckyCriticalsDuringFocus,1,[1],"Пока вы сфокусированы, ваш шанс критического удара удачлив","[<11, 0>]",Нераскрытое свойство поясов
JunManaAndDamageTakenGoesToManaPercent,1,"[1, 1, 1]",Мана и восстановление полученного урона в виде маны - уровень,"[<9, 0>, <10, 0>]",Нераскрытое свойство колец и амулетов
JunManaAndManaCostPercent,1,"[1, 1, 1]",Мана и затраты маны умениями - уровень,"[<9, 0>, <10, 0>]",Нераскрытое свойство колец и амулетов
JunMaximumCurse,1,[1],Дополнительное проклятие,"[<6, 0>]",Нераскрытое свойство нательных доспехов
JunMaximumTotem,1,[1],Количество установленных тотемов,"[<4, 0>]",Нераскрытое свойство щитов
JunMaximumZombieAndSkeleton,1,[1],Количество зомби и скелетов,"[<5, 0>]",Нераскрытое свойство шлемов
JunMeleeRangeAndMeleeGemLevel,1,"[1, 1, 1]",Дальность ближнего боя и модификаторы ближнего боя - уровень,"[<5, 0>, <7, 0>, <10, 0>]","Нераскрытое свойство шлемов, перчаток и амулетов"
JunMineLayingSpeed,1,"[1, 1, 1]",Скорость броска мин - уровень,"[<10, 0>, <5, 0>]",Нераскрытое свойство амулетов и шлемов
JunMinimumEnduranceCharges,1,[1],Минимум зарядов выносливости,"[<9, 0>, <10, 0>]",Нераскрытое свойство колец и амулетов
JunMinimumFrenzyCharges,1,[1],Минимум зарядов ярости,"[<9, 0>, <10, 0>]",Нераскрытое свойство колец и амулетов
JunMinimumPowerCharges,1,[1],Минимум зарядов энергии,"[<9, 0>, <10, 0>]",Нераскрытое свойство колец и амулетов
JunMinionAttackAndCastSpeedOnWeapon,1,"[1, 1, 1]",Приспешники: скорость атаки и сотворения чар - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunMinionDamageAndMinionMaximumLife,1,"[1, 1, 1]",Приспешники: урон и здоровье - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunMinionsRecoverMaximumLifeWhenYouFocus,1,[1],В момент получения Фокуса приспешники восстанавливают здоровье,"[<7, 0>]",Нераскрытое свойство перчаток
JunMovementVelocityAndCannotBeChilled,1,"[1, 1, 1]",Скорость передвижения и невозможность получить охлаждение - уровень,"[<8, 0>]",Нераскрытое свойство сапог
JunMovementVelocityAndMovementVelocityIfNotHitRecently,1,"[1, 1, 1]","Скорость передвижения и скорость передвижения, если вы не получали ударов - уровень","[<8, 0>]",Нераскрытое свойство сапог
JunMovementVelocityAndOnslaughtOnKill,1,"[1, 1, 1]",Скорость передвижения и Боевой раж при убийстве - уровень,"[<8, 0>]",Нераскрытое свойство сапог
JunNonChaosAddedAsChaos,1,"[1, 1]",Урон в виде дополнительного урона хаосом - уровень,"[<0, 0>, <2, 0>, <1, 0>, <3, 0>, <4, 0>]",Нераскрытое свойство отдельных видов оружия и щитов Того-Что-Сбежало
JunPercentageAllAttributes,1,"[1, 1]",Характеристики - уровень,"[<6, 0>]","Нераскрытое свойство отдельных нательных доспехов Хиллока, Кузнеца"
JunPhysicalDamageConvertedToCold,1,[1],Физический урон становится уроном от холода,"[<7, 0>]",Нераскрытое свойство перчаток
JunPhysicalDamageConvertedToFire,1,[1],Физический урон становится уроном от огня,"[<7, 0>]",Нераскрытое свойство перчаток
JunPhysicalDamageConvertedToLightning,1,[1],Физический урон становится уроном от молнии,"[<7, 0>]",Нераскрытое свойство перчаток
JunPhysicalDamageReductionDuringFocus,1,"[1, 1, 1]","Дополнительное уменьшение получаемого физического урона, пока вы сфокусированы - уровень","[<5, 0>, <7, 0>]",Нераскрытое свойство шлемов и перчаток
JunPhysicalDamageReductionRatingDuringSoulGainPrevention,1,"[1, 1, 1]",Броня во время действия предотвращения получения душ - уровень,"[<6, 0>, <4, 0>]",Нераскрытое свойство нательных доспехов и щитов
JunPhysicalDamageTakenAsFirePercent,1,"[1, 1]",Процент получаемого физического урона становится уроном от огня - уровень,"[<5, 0>]",Нераскрытое свойство отдельных шлемов Корелла Гойя
JunProjectilePierceAndProjectileGemLevel,1,"[1, 1, 1]",Шанс пронзить врага снарядом и модификаторы снарядов - уровень,"[<5, 0>, <7, 0>, <10, 0>]","Нераскрытое свойство шлемов, перчаток и амулетов"
JunReduceGlobalFlatManaCost,1,"[1, 1, 1]",Затраты маны умениями - уровень,"[<9, 0>, <10, 0>]",Нераскрытое свойство отдельных колец и амулетов Элреона
JunRestoreManaAndEnergyShieldOnFocus,1,"[1, 1, 1]",Мана и энергетический щит в момент получения Фокуса - уровень,"[<6, 0>]",Нераскрытое свойство нательных доспехов
JunShockNearbyEnemiesOnFocus,1,"[1, 1, 1]",Наложение шока на ближайших врагов в момент получения Фокуса - уровень,"[<9, 0>]",Нераскрытое свойство колец
JunSkillAreaOfEffectPercentAndAreaOfEffectGemLevel,1,"[1, 1, 1]",Модификаторы области и области действия - уровень,"[<5, 0>, <7, 0>, <10, 0>]","Нераскрытое свойство шлемов, перчаток и амулетов"
JunSkillsCostNoManaWhileFocused,1,[1],"Пока вы сфокусированы, умения не расходуют ману","[<10, 0>]",Нераскрытое свойство амулетов
JunSocketedGemQuality,1,"[1, 1]",Качество камней - уровень,"[<0, 0>, <2, 0>, <1, 0>, <3, 0>, <4, 0>]",Нераскрытое свойство отдельных видов оружия и щитов Хаку
JunSpellDamageAndManaRegenerationRate,1,"[1, 1, 1]",Урон от чар и скорость регенерации маны - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>]",Нераскрытое свойство оружия
JunSpellDamageAndNonChaosDamageToAddAsChaosDamage,1,"[1, 1, 1]",Урон от чар и урон не-хаосом в виде дополнительного урона хаосом - уровень,"[<0, 0>, <1, 0>, <2, 0>]",Нераскрытое свойство оружия
JunStatusAilmentsYouInflictDurationWhileFocused,1,"[1, 1, 1]","Длительность состояний, пока вы сфокусированы - уровень","[<5, 0>]",Нераскрытое свойство шлемов
JunStrengthAndDexterity,1,"[1, 1, 1]",Сила и ловкость - уровень,"[<6, 0>, <8, 0>, <7, 0>, <5, 0>, <4, 0>, <10, 0>, <11, 0>, <9, 0>, <13, 0>]","Нераскрытое свойство нательных доспехов, сапог, перчаток, шлемов, щитов, амулетов, поясов, колец и колчанов"
JunStrengthAndIntelligence,1,"[1, 1, 1]",Сила и интеллект - уровень,"[<6, 0>, <8, 0>, <7, 0>, <5, 0>, <4, 0>, <10, 0>, <11, 0>, <9, 0>, <13, 0>]","Нераскрытое свойство нательных доспехов, сапог, перчаток, шлемов, щитов, амулетов, поясов, колец и колчанов"
JunSummonTotemCastSpeed,1,"[1, 1, 1]",Скорость установки тотемов - уровень,"[<8, 0>, <10, 0>]",Нераскрытое свойство сапог и амулетов
JunTrapThrowSpeed,1,"[1, 1, 1]",Скорость броска ловушек - уровень,"[<10, 0>, <11, 0>]",Нераскрытое свойство амулетов и поясов
JunTriggerSocketedSpellWhenYouFocus,1,[1],Срабатывание чар в момент получения Фокуса,"[<5, 0>]",Нераскрытое свойство шлемов
JunLocalAttackSpeedAndLocalItemQuality,1,"[1, 1]","Локальная скорость атаки, ловкость и интеллект - уровень","[<0, 0>, <2, 0>, <1, 0>, <3, 0>]",Нераскрытое свойство оружия
JunLocalCriticalStrikeChanceAndLocalItemQuality,1,"[1, 1]","Шанс критического удара, сила и интеллект - уровень","[<0, 0>, <2, 0>, <1, 0>, <3, 0>]",Нераскрытое свойство оружия
JunLocalAccuracyRatingAndLocalItemQuality,1,"[1, 1, 1]","Меткость, сила и ловкость - уровень","[<0, 0>, <2, 0>, <1, 0>, <3, 0>]",Нераскрытое свойство оружия
JunLocalAttackSpeedAndLocalDisplayTriggerLevelBloodRageOnKillChance,1,"[1, 1]",Скорость атаки и срабатывание Кровавого угара при убийстве - уровень,"[<0, 0>, <2, 0>, <1, 0>, <3, 0>]",Нераскрытое свойство оружия
JunCastSpeedAndGainArcaneSurgeOnKillChance,1,"[1, 1, 1]",Скорость сотворения чар и получение Колдовского выброса при убийстве - уровень,"[<0, 0>, <2, 0>, <1, 0>, <3, 0>]",Нераскрытое свойство оружия
JunTriggerSocketedSpellOnSkillUse,1,[1],Срабатывание размещенных чар при использовании умения,"[<0, 0>, <2, 0>, <1, 0>, <3, 0>]",Нераскрытое свойство оружия
JunFireAndChaosDamageResistance,1,"[1, 1, 1]",Сопротивление огню и хаосу - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов, щитов, колец, амулетов, поясов и колчанов"
JunLightningAndChaosDamageResistance,1,"[1, 1, 1]",Сопротивление молнии и хаосу - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов, щитов, колец, амулетов, поясов и колчанов"
JunColdAndChaosDamageResistance,1,"[1, 1, 1]",Сопротивление холоду и хаосу - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов, щитов, колец, амулетов, поясов и колчанов"
JunStrengthAndLocalItemQuality,1,"[1, 1, 1]",Сила и избегание поджога - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <4, 0>]","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов и щитов "
JunDexterityAndLocalItemQuality,1,"[1, 1, 1]",Ловкость и избегание заморозки - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <4, 0>]","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов и щитов "
JunIntelligenceAndLocalItemQuality,1,"[1, 1, 1]",Интеллект и избегание шока - уровень,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <4, 0>]","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов и щитов "
JunLifeRegenerationRatePerMinuteWhileUsingFlask,1,"[1, 1, 1]",Скорость регенерации здоровья во время действия эффекта флакона - уровень,"[<11, 0>]",Нераскрытое свойство поясов
JunPercentageLifeAndMana,1,[1],Увеличение здоровья и маны,"[<6, 0>]",Нераскрытое свойство нательных доспехов
JunBlockPercent,1,[1],Шанс заблокировать урон от атак,"[<6, 0>]",Нераскрытое свойство нательных доспехов
JunSpellDodgePercentage,1,[1],Шанс заблокировать урон от чар,"[<6, 0>]",Нераскрытое свойство нательных доспехов
JunAvoidStunAndElementalStatusAilments,1,[1],Избегание оглушения и стихийных состояний,"[<6, 0>]",Нераскрытое свойство нательных доспехов