Name,ModSellPriceTypesKeys
LocalBaseArmourAndEvasionRating,"[<1, 0>]"
LocalBaseArmourAndEnergyShield,"[<1, 0>]"
LocalBaseEvasionRatingAndEnergyShield,"[<1, 0>]"
LocalBaseArmourEvasionRatingAndLife,"[<1, 0>]"
LocalBaseArmourEnergyShieldAndLife,"[<1, 0>]"
LocalBaseEvasionRatingEnergyShieldAndLife,"[<1, 0>]"
LocalBaseArmourAndLife,"[<1, 0>]"
LocalBaseEnergyShieldAndLife,"[<1, 0>]"
LocalBaseEvasionRatingAndLife,"[<1, 0>]"
LocalBaseEnergyShieldAndMana,"[<1, 0>]"
LocalIncreasedArmourAndEvasionAndLife,"[<1, 0>]"
LocalIncreasedArmourAndEnergyShieldAndLife,"[<1, 0>]"
LocalIncreasedEvasionAndEnergyShieldAndLife,"[<1, 0>]"
LocalIncreasedArmourAndLife,"[<1, 0>]"
LocalIncreasedEvasionAndLife,"[<1, 0>]"
LocalIncreasedEnergyShieldAndLife,"[<1, 0>]"
LocalIncreasedDefencesAndLife,"[<1, 0>]"
MonsterEnergyShieldPercent,[]
WeaponSpellDamage,"[<2, 0>]"
TwoHandWeaponSpellDamage,"[<2, 0>]"
WeaponSpellDamageAddedAsChaos,"[<2, 0>]"
WeaponSpellDamageAndMana,"[<1, 0>]"
TwoHandWeaponSpellDamageAndMana,"[<1, 0>]"
LocalIncreasedPhysicalDamagePercentAndLeech,"[<1, 0>]"
LocalIncreasedPhysicalDamagePercentAndAttackSpeed,"[<1, 0>]"
LocalIncreasedPhysicalDamagePercentAndCritChance,"[<1, 0>]"
LocalIncreasedPhysicalDamagePercentAndCritMulti,"[<1, 0>]"
LocalIncreasedPhysicalDamagePercentAndStun,"[<1, 0>]"
LocalIncreasedPhysicalDamagePercentAndArea,"[<1, 0>]"
LocalIncreasedPhysicalDamagePercentAndProjSpeed,"[<1, 0>]"
LocalIncreasedPhysicalDamagePercentAndPierce,"[<1, 0>]"
ReducedChillDuration,"[<5, 0>]"
ReducedFreezeDuration,"[<5, 0>]"
ReducedFreezeDurationMaven,"[<5, 0>]"
ReducedBurnDuration,"[<5, 0>]"
ReducedBurnDurationMaven,"[<5, 0>]"
ReducedShockDuration,"[<5, 0>]"
IncreasedCastSpeed,"[<1, 0>]"
IncreasedCastSpeedFishing,"[<1, 0>]"
IncreasedCastSpeedAddedChaos,"[<1, 0>]"
IncreasedAttackSpeed,"[<1, 0>]"
MonsterIncreasedAttackSpeed,[]
MonsterIncreasedCastSpeed,[]
MonsterIncreasedAttackAndCastSpeed,[]
MonsterMoreAttackSpeed,[]
IncreasedAccuracy,"[<0, 0>]"
MonsterIncreasedAccuracyPercent,[]
LifeRegeneration,"[<0, 0>]"
ManaRegeneration,"[<0, 0>]"
ManaRegenerationMaven,"[<0, 0>]"
EnergyShieldRegeneration,"[<5, 0>]"
ArrowSpeed,[]
StunDurationIncreasePercent,"[<1, 0>]"
StunRecovery,"[<0, 0>]"
FireResistance,"[<0, 0>]"
ColdResistance,"[<0, 0>]"
LightningResistance,"[<0, 0>]"
AllResistances,"[<2, 0>]"
AllResistancesMaven,"[<2, 0>]"
AllResistancesWithChaos,"[<2, 0>]"
FireResistancePrefix,"[<2, 0>]"
ColdResistancePrefix,"[<2, 0>]"
LightningResistancePrefix,"[<2, 0>]"
ArrowPiercePer10,[]
ArrowAdditionalPierce,[]
CorruptionBowArrowPierce,[]
AdditionalArrowPierce,[]
ArrowsAlwaysPierce,[]
MovementVelocity,"[<2, 0>]"
MonsterMovementVelocity,[]
ItemFoundQuantityIncrease,"[<6, 0>]"
ItemFoundRarityIncrease,"[<5, 0>]"
ItemFoundRarityIncreasePrefix,"[<5, 0>]"
EnergyShieldDelay,"[<5, 0>]"
FireDamagePercentage,"[<1, 0>]"
FireDamagePercentagePrefix,"[<2, 0>]"
FireDamageWeaponPrefix,"[<1, 0>]"
TwoHandFireDamageWeaponPrefix,"[<1, 0>]"
FireDamageWeaponPrefixAndFlat,"[<1, 0>]"
TwoHandFireDamageWeaponPrefixAndFlat,"[<1, 0>]"
ColdDamagePercentage,"[<1, 0>]"
ColdDamagePercentagePrefix,"[<2, 0>]"
ColdDamageWeaponPrefix,"[<1, 0>]"
TwoHandColdDamageWeaponPrefix,"[<1, 0>]"
ColdDamageWeaponPrefixAndFlat,"[<1, 0>]"
TwoHandColdDamageWeaponPrefixAndFlat,"[<1, 0>]"
LightningDamagePercentage,"[<1, 0>]"
LightningDamagePercentagePrefix,"[<2, 0>]"
LightningDamageWeaponPrefix,"[<1, 0>]"
TwoHandLightningDamageWeaponPrefix,"[<1, 0>]"
LightningDamageWeaponPrefixAndFlat,"[<1, 0>]"
TwoHandLightningDamageWeaponPrefixAndFlat,"[<1, 0>]"
ChaosDamageWeaponPrefix,"[<1, 0>]"
TwoHandChaosDamageWeaponPrefix,"[<1, 0>]"
LocalLightningDamage,"[<1, 0>]"
LocalLightningDamageTwoHand,"[<1, 0>]"
LocalLightningDamageRanged,"[<1, 0>]"
LocalFireDamage,"[<1, 0>]"
LocalFireDamageTwoHand,"[<1, 0>]"
LocalFireDamageRanged,"[<1, 0>]"
LocalFireDamageAndPen,"[<1, 0>]"
LocalFireDamageTwoHandAndPen,"[<1, 0>]"
LocalColdDamageAndPen,"[<1, 0>]"
LocalColdDamageTwoHandAndPen,"[<1, 0>]"
LocalLightningDamageAndPen,"[<1, 0>]"
LocalLightningDamageTwoHandAndPen,"[<1, 0>]"
LocalFireDamagePenetrationHybrid,"[<1, 0>]"
LocalColdDamagePenetrationHybrid,"[<1, 0>]"
LocalLightningDamagePenetrationHybrid,"[<1, 0>]"
LocalChaosDamagePenetrationHybrid,"[<1, 0>]"
FireResistancePhysTakenAsFire,"[<0, 0>]"
ColdResistancePhysTakenAsCold,"[<0, 0>]"
LightningResistancePhysTakenAsLightning,"[<0, 0>]"
FireResistanceLeech,"[<0, 0>]"
ColdResistanceLeech,"[<0, 0>]"
LightningResistanceLeech,"[<0, 0>]"
FireResistanceAilments,"[<0, 0>]"
ColdResistanceAilments,"[<0, 0>]"
LightningResistanceAilments,"[<0, 0>]"
FireDamagePhysConvertedToFire,"[<0, 0>]"
ColdDamagePhysConvertedToCold,"[<0, 0>]"
LightningDamagePhysConvertedToLightning,"[<0, 0>]"
IncreasedLifeAndPercent,"[<1, 0>]"
LifeRegenerationAndPercent,"[<0, 0>]"
EnergyShieldAndPercent,"[<1, 0>]"
EnergyShieldAndRegen,"[<1, 0>]"
IncreasedManaAndPercent,"[<0, 0>]"
IncreasedManaAndOnHit,"[<0, 0>]"
IncreasedManaAndRegen,"[<0, 0>]"
IncreasedManaAndReservation,"[<0, 0>]"
IncreasedManaAndReservationEfficiency,"[<0, 0>]"
IncreasedManaAndCost,"[<0, 0>]"
IncreasedManaAndCostNew,"[<0, 0>]"
MovementVelocitySpeed,"[<2, 0>]"
MovementVelocityDodge,"[<2, 0>]"
MovementVelocitySpellDodge,"[<2, 0>]"
ItemQuantityIncrease,"[<6, 0>]"
MonsterDamageIncrease,[]
MonsterDamageFromRarity,[]
MonsterDamageLifeIncrease,[]
MonsterSlainExperienceIncrease,[]
MonsterDroppedItemRarityIncrease,[]
MonsterDroppedItemQuantityIncrease,[]
TormentSlainMonsterLootBonus,[]
MaximumLifeIncreasePercent,"[<2, 0>]"
MonsterMaximumLifeIncreasePercent,[]
LocalPhysicalDamagePercent,"[<2, 0>]"
PhysicalDamagePercent,"[<2, 0>]"
PhysicalDamagePercentPrefix,"[<2, 0>]"
LocalIncreasedAttackSpeed,"[<1, 0>]"
LocalIncreasedAttackSpeedAddedChaos,"[<1, 0>]"
LocalPhysicalDamagePercentAddedAsChaos,"[<2, 0>]"
StunThresholdReduction,"[<0, 0>]"
CriticalStrikeChance,"[<1, 0>]"
CriticalStrikeChanceWithBows,"[<1, 0>]"
CriticalStrikeChanceDaggerImplicit1,[]
CriticalStrikeChanceDaggerImplicit2,[]
CriticalStrikeChanceDaggerImplicit3,[]
ChaosResistance,"[<4, 0>]"
ChaosResistancePrefix,"[<4, 0>]"
ChaosResistanceDamageOverTime,[]
CriticalStrikeMultiplier,"[<2, 0>]"
CriticalStrikeMultiplierWithBows,"[<2, 0>]"
SpellCriticalStrikeChance,"[<1, 0>]"
NoCriticalStrikeMultiplier,"[<2, 0>]"
AxeBonuses,[]
StaffBonuses,[]
ClawBonuses,[]
DaggerBonuses,[]
MaceBonuses,[]
BowBonuses,[]
SwordBonuses,[]
WandBonuses,[]
ProjectileSpeed,"[<1, 0>]"
IncreasedAccuracyPercent,"[<0, 0>]"
IncreasedAccuracyPercentWithSwords,"[<0, 0>]"
LifeGainPerTarget,"[<0, 0>]"
LifeGainPerTargetLocal,"[<0, 0>]"
IncreasedWeaponElementalDamagePercent,"[<1, 0>]"
FlaskIncreasedRecoverySpeed,"[<0, 0>]"
FlaskIncreasedRecoveryAmount,"[<1, 0>]"
FlaskIncreasedDuration,"[<2, 0>]"
FlaskUtilityIncreasedDuration,"[<2, 0>]"
FlaskIncreasedRecoveryOnLowLife,"[<0, 0>]"
FlaskInstantRecoveryOnLowLife,"[<0, 0>]"
FlaskPartialInstantRecovery,"[<0, 0>]"
FlaskFullInstantRecovery,"[<1, 0>]"
FlaskExtraManaCostsLife,"[<0, 0>]"
FlaskExtraLifeCostsMana,"[<0, 0>]"
FlaskExtraLifeCostsLife,"[<0, 0>]"
FlaskExtraLife,[]
FlaskDispellsChill,"[<2, 0>]"
FlaskDispellsBurning,"[<2, 0>]"
FlaskExtraMaxCharges,"[<0, 0>]"
FlaskIncreasedChargesAdded,"[<0, 0>]"
FlaskIncreasedRecoveryReducedEffect,"[<0, 0>]"
FlaskBuffArmourWhileHealing,"[<1, 0>]"
FlaskBuffEvasionWhileHealing,"[<1, 0>]"
FlaskBuffEnergyShieldWhileHealing,"[<1, 0>]"
FlaskBuffMovementSpeedWhileHealing,"[<1, 0>]"
FlaskBuffStunRecoveryWhileHealing,"[<1, 0>]"
FlaskBuffResistancesWhileHealing,"[<1, 0>]"
FlaskBuffLifeLeechWhileHealing,"[<1, 0>]"
FlaskBuffLifeLeechPermyriadWhileHealing,"[<1, 0>]"
FlaskBuffManaLeechWhileHealing,"[<1, 0>]"
FlaskBuffManaLeechPermyriadWhileHealing,"[<1, 0>]"
FlaskBuffKnockbackWhileHealing,"[<0, 0>]"
FlaskBuffAttackLifeLeechWhileHealing,"[<1, 0>]"
FlaskBuffSpellEnergyShieldLeechWhileHealing,"[<1, 0>]"
FlaskBuffAttackSpeedWhileHealing,"[<1, 0>]"
FlaskBuffCastSpeedWhileHealing,"[<1, 0>]"
FlaskBuffFreezeShockIgniteChanceWhileHealing,"[<1, 0>]"
FlaskBuffReducedManaCostWhileHealing,"[<1, 0>]"
FlaskBuffAccuracyWhileHealing,"[<1, 0>]"
FlaskBuffWardWhileHealing,"[<1, 0>]"
FlaskBuffAvoidStunWhileHealing,"[<1, 0>]"
FlaskHealsMinions,"[<0, 0>]"
FlaskFullRechargeOnCrit,"[<2, 0>]"
FlaskChanceRechargeOnCrit,"[<2, 0>]"
FlaskFullRechargeOnTakeCrit,"[<2, 0>]"
FlaskDispellsPoison,"[<2, 0>]"
FlaskEffectReducedDuration,"[<0, 0>]"
FlaskEffectLocal,[]
FlaskChargesUsed,"[<0, 0>]"
FlaskFullRechargeOnHit,"[<0, 0>]"
FlaskIncreasedHealingCharges,"[<1, 0>]"
FlaskManaRecoveryAtEnd,"[<2, 0>]"
FlaskEffectNotRemovedOnFullMana,"[<2, 0>]"
FlaskEffectNotRemovedOnFullManaReducedRecovery,"[<2, 0>]"
LocalCriticalStrikeChance,"[<1, 0>]"
LocalCriticalStrikeMultiplier,"[<2, 0>]"
FlaskBuffPreventsDeathWhileHealing,"[<8, 0>]"
FlaskBuffAvoidChillFreeze,"[<0, 0>]"
FlaskBuffAvoidIgnite,"[<0, 0>]"
FlaskBuffAvoidShock,"[<0, 0>]"
FlaskBuffBleedDuration,"[<0, 0>]"
FlaskBuffChillFreezeDuration,"[<0, 0>]"
FlaskBuffCurseEffect,"[<0, 0>]"
FlaskBuffIgniteDuration,"[<0, 0>]"
FlaskBuffPoisonDuration,"[<0, 0>]"
FlaskBuffShockEffect,"[<0, 0>]"
FlaskLevelRequirement,[]
RingLevelRequirement,[]
FireDamageAsPortionOfDamage,"[<6, 0>]"
ColdDamageAsPortionOfDamage,"[<6, 0>]"
LightningDamageAsPortionOfDamage,[]
MonsterFireDamageAsPortionOfDamage,[]
MonsterColdDamageAsPortionOfDamage,[]
MonsterLightningDamageAsPortionOfDamage,[]
LifeRegenerationRatePercentage,"[<5, 0>]"
LifeRegenerationRatePercentagePerTotem,"[<5, 0>]"
MonsterLifeRegenerationRatePercentage,[]
LifeRegenerationPercentAndMovementSpeed,[]
MonsterSlainFlaskChargesIncrease,[]
MonsterSlainGrantNoFlaskCharges,[]
LifeGainedFromEnemyDeath,"[<0, 0>]"
ManaGainedFromEnemyDeath,"[<0, 0>]"
MonsterDoesNotFlee,[]
LocalIncreaseSocketedFireGemLevel,"[<6, 0>]"
LocalIncreaseSocketedFireGemLevelMaven,"[<6, 0>]"
LocalIncreaseSocketedColdGemLevel,"[<6, 0>]"
LocalIncreaseSocketedColdGemLevelMaven,"[<6, 0>]"
LocalIncreaseSocketedLightningGemLevel,"[<6, 0>]"
LocalIncreaseSocketedLightningGemLevelMaven,"[<6, 0>]"
LocalIncreaseSocketedChaosGemLevel,"[<2, 0>]"
LocalIncreaseSocketedChaosGemLevelMaven,"[<2, 0>]"
LocalIncreaseSocketedProjectileGemLevel,"[<6, 0>]"
LocalIncreaseSocketedSpellGemLevel,"[<6, 0>]"
LocalIncreaseSocketedMeleeGemLevel,"[<6, 0>]"
LocalIncreaseSocketedBowGemLevel,"[<6, 0>]"
LocalIncreaseSocketedMinionGemLevel,"[<6, 0>]"
LocalIncreaseSocketedTrapGemLevel,"[<6, 0>]"
LocalIncreaseSocketedGemLevel,"[<6, 0>]"
LocalIncreaseSocketedAuraLevel,"[<6, 0>]"
LocalIncreaseSocketedStrengthGemLevel,"[<6, 0>]"
LocalIncreaseSocketedAuraLevelCorrupted,"[<6, 0>]"
LocalIncreaseSocketedCurseLevelCorrupted,"[<6, 0>]"
LocalIncreaseSocketedProjectileLevelCorrupted,"[<6, 0>]"
LocalIncreaseSocketedFireGemLevelCorrupted,"[<6, 0>]"
LocalIncreaseSocketedColdGemLevelCorrupted,"[<6, 0>]"
LocalIncreaseSocketedLightningGemLevelCorrupted,"[<6, 0>]"
GlobalIncreaseSpellSkillGemLevel,"[<6, 0>]"
GlobalIncreaseFireSpellSkillGemLevel,"[<6, 0>]"
GlobalIncreaseColdSpellSkillGemLevel,"[<6, 0>]"
GlobalIncreaseLightningSpellSkillGemLevel,"[<6, 0>]"
GlobalIncreaseChaosSpellSkillGemLevel,"[<6, 0>]"
GlobalIncreasePhysicalSpellSkillGemLevel,"[<6, 0>]"
GlobalIncreaseMinionSpellSkillGemLevel,"[<6, 0>]"
MonsterAuraPhysicalThorns,[]
MonsterAuraElementalThorns,[]
MonsterAuraMediumDamage,[]
MonsterAuraLargeDamage,[]
MonsterAuraLargeDamageAll,[]
MonsterAuraSpeed,[]
MonsterAuraLifeRegen,[]
MonsterAuraResists,[]
MonsterAuraEnergyShield,[]
MonsterAuraAccuracyAndCrit,[]
MonsterAuraEnemyLifeDegen,[]
MonsterAuraElementalDamage,[]
MonsterAuraEnemyLifeDegenCold,[]
MonsterAuraEnemyLifeDegenFire,[]
MonsterAuraEnemyLifeDegenLightning,[]
LocalAccuracyRating,"[<0, 0>]"
LocalAccuracyRatingIncrease,"[<0, 0>]"
Strength,"[<1, 0>]"
StrengthImplicit,"[<1, 0>]"
PercentageStrength,"[<6, 0>]"
PercentageStrengthMaven,"[<6, 0>]"
Dexterity,"[<1, 0>]"
DexterityImplicit,"[<1, 0>]"
PercentageDexterity,"[<6, 0>]"
PercentageDexterityMaven,"[<6, 0>]"
Intelligence,"[<1, 0>]"
IntelligenceImplicit,"[<1, 0>]"
AllAttributes,"[<2, 0>]"
StaffBlockPercent,"[<1, 0>]"
StaffBlockPercentLocalAdditional,"[<1, 0>]"
StaffSpellBlockPercent,"[<1, 0>]"
ElementalDamagePercent,"[<1, 0>]"
ElementalDamagePercentMaven,"[<1, 0>]"
MonsterElementalDamageFinal,[]
MonsterActBoss,[]
BlockingBlocksSpells,"[<6, 0>]"
CannotCull,[]
CullingStrike,"[<6, 0>]"
CullingStrikeMaven,"[<6, 0>]"
PhysicalDamagePercentOnLowLife,"[<6, 0>]"
BlockRecovery,"[<0, 0>]"
AlwaysHits,"[<7, 0>]"
AlwaysHitsGlobal,"[<7, 0>]"
HitsCauseMonsterFlee,"[<5, 0>]"
ChaosDamage,"[<4, 0>]"
MaximumEnduranceCharges,"[<7, 0>]"
MaximumEnduranceChargesMaven,"[<7, 0>]"
AddPowerChargeOnCrit,"[<7, 0>]"
ActorSize,"[<6, 0>]"
MonsterActorSize,[]
MaximumManaIncreasePercent,"[<6, 0>]"
MaximumManaIncreasePercentMaven,"[<6, 0>]"
MaximumManaIncreaseShaper,"[<6, 0>]"
AreaOfEffect,"[<7, 0>]"
MovementVelocityPenalty,[]
OshabiCombatVineOrange,[]
OshabiCombatVineBlue,[]
OshabiCombatVineGreen,[]
OshabiCombatVineRed,[]
MonsterConvertPhysicalDamageToFire,[]
MonsterConvertPhysicalDamageToCold,[]
MonsterConvertPhysicalDamageToLightning,[]
MonsterConvertPhysicalDamageToChaos,[]
BurnDamage,"[<5, 0>]"
CannotCrit,[]
ManaCostReduction,"[<6, 0>]"
BloodMagic,"[<6, 0>]"
CannotEvade,[]
MinionRunSpeed,"[<5, 0>]"
MinionLife,"[<5, 0>]"
MinionLifeMaven,"[<5, 0>]"
MinionDamage,"[<6, 0>]"
MinionChaosResistance,"[<1, 0>]"
MinionElementalResistance,"[<1, 0>]"
MinionFlatAccuracyRating,"[<1, 0>]"
MinionDuration,"[<1, 0>]"
MinionDamageOnWeapon,"[<1, 0>]"
MinionDamageOnWeaponDoubleDamage,"[<1, 0>]"
MinionDamageOnWeaponAndMana,"[<1, 0>]"
MinionAttackAndCastSpeedOnWeapon,[]
CannotStun,[]
CannotBeStunned,"[<7, 0>]"
AdditionalCurseOnEnemies,"[<6, 0>]"
OLDAdditionalCurseOnEnemiesMaven,"[<6, 0>]"
AdditionalCurseOnEnemiesMaven,"[<6, 0>]"
ConvertPhysicalToFire,"[<7, 0>]"
ConvertPhysicalToFireMaven,"[<7, 0>]"
ConvertPhysicalToFireVeiledFamilyRestriction,"[<2, 0>]"
ConvertPhysicalToFireImplicit,"[<7, 0>]"
MonsterMultipleProjectile,[]
MonsterMultipleProjectileShotgun,[]
MonsterFasterProjectile,[]
MonsterWealth,[]
MonsterCriticalStrikes,[]
MonsterResists,[]
MonsterCannotBeStunned,[]
LocalArmourAndEnergyShield,"[<1, 0>]"
LocalArmourAndEnergyShieldSuffix,"[<2, 0>]"
LocalArmourAndEvasion,"[<1, 0>]"
LocalArmourAndEvasionSuffix,"[<2, 0>]"
LocalEvasionAndEnergyShield,"[<1, 0>]"
LocalEvasionAndEnergyShieldSuffix,"[<2, 0>]"
LocalArmourAndEvasionAndEnergyShield,"[<1, 0>]"
LocalArmourAndEvasionAndEnergyShieldSuffix,"[<2, 0>]"
LocalArmourAndEnergyShieldAndStunRecovery,"[<1, 0>]"
LocalArmourAndEvasionAndStunRecovery,"[<1, 0>]"
LocalEvasionAndEnergyShieldAndStunRecovery,"[<1, 0>]"
LocalArmourAndEvasionAndEnergyShieldAndStunRecovery,"[<1, 0>]"
BeltIncreasedFlaskChargesGained,"[<0, 0>]"
BeltReducedFlaskChargesUsed,"[<0, 0>]"
BeltIncreasedFlaskDuration,"[<0, 0>]"
BeltFlaskLifeRecoveryRate,"[<0, 0>]"
BeltFlaskLifeRecovery,"[<0, 0>]"
GlobalFlaskLifeRecovery,"[<2, 0>]"
BeltFlaskManaRecoveryRate,"[<0, 0>]"
BeltFlaskManaRecovery,"[<0, 0>]"
CannotCurse,[]
MonsterImmuneToCurses,[]
MonsterHexproof,[]
MonsterAuraCannotDie,[]
MonsterAuraSlow,[]
MonsterAuraDamageReduction,[]
MonsterGrantsFrenzyChargesToAlliesOnDeath,[]
MonsterGainsFrenzyChargeAsKilled,[]
MonsterGainsPowerChargeAsKilled,[]
MonsterGainsFrenzyChargeOnHit,[]
MonsterGainsPowerChargeOnHit,[]
MonsterGainsEnduranceChargeOnHit,[]
MonsterIncreasedCastSpeedPerPowerCharge,[]
IncreasedChillDuration,"[<5, 0>]"
Acrobatics,"[<7, 0>]"
HasNoSockets,"[<8, 0>]"
ReducedShockChance,"[<6, 0>]"
AttackerTakesDamage,"[<0, 0>]"
TakesDamageWhenAttacked,[]
PainAttunement,"[<7, 0>]"
ExperienceIncrease,"[<8, 0>]"
ChanceToAvoidFreezeAndChill,"[<6, 0>]"
ReducedManaCostOnLowLife,"[<6, 0>]"
ElementalResistsOnLowLife,"[<5, 0>]"
EvasionOnLowLife,"[<5, 0>]"
LifeRegenerationOnLowLife,"[<5, 0>]"
ItemRarityOnLowLife,"[<7, 0>]"
MovementVelocityOnLowLife,"[<5, 0>]"
MovementVelocityOnFullLife,"[<5, 0>]"
ConvertPhysicalToCold,"[<7, 0>]"
ConvertPhysicalToColdMaven,"[<7, 0>]"
ConvertPhysicalToColdVeiledFamilyRestriction,"[<2, 0>]"
ConvertPhysicalToColdImplicit,"[<7, 0>]"
AttackerTakesColdDamage,"[<4, 0>]"
AttackerTakesColdDamageNoRange,"[<4, 0>]"
AttackSpeedOnFullLife,"[<5, 0>]"
CastSpeedOnFullLife,"[<5, 0>]"
CastSpeedOnLowLife,"[<5, 0>]"
Conduit,"[<8, 0>]"
MinionInstability,[]
PhysicalAttackDamageTaken,"[<5, 0>]"
BlockPercentAppliedToSpellsOnLowLife,"[<6, 0>]"
MaximumColdResist,"[<6, 0>]"
MeleeAttackerTakesColdDamage,"[<4, 0>]"
RangedAttackDamageTaken,"[<5, 0>]"
MonsterSpeedAndDamageFixup,[]
MonsterSpeedAndDamageFixupRarity,[]
PercentDamageToDealToAttacker,"[<6, 0>]"
Nothing,[]
StanceScavengerRun,[]
StanceMarakethGeneral,[]
StanceOrionThrone,[]
StanceSandLeaperHaste,[]
StanceChieftainRuckus,[]
StanceSnakeSlither,[]
StanceVilentaEnrage,[]
StanceVilentaEnrageMap,[]
StanceThaneEnrage,[]
StanceWestBossWalk,[]
StanceAfflictionDemonRun,[]
StanceBlightWheelRun,[]
StanceHarvestStriderRun,[]
StanceHarvestCatBossProwl,[]
StanceHarvestCatBossStealth,[]
StanceHarvestBossVinePhase,[]
StanceHarvestBrambleHulkRun,[]
StanceHarvestOshabiCrownOfThorns,[]
StanceHeistMovementSpeed,[]
StaceScytheHand,[]
StanceVelocity,[]
MonsterGainFrenzyChargeOnKinDeath,[]
MonsterChanceToIgnite,[]
MonsterGroundFireOnDeath,[]
MonsterGroundHolyFireOnDeath,[]
MonsterCausticCloudOnDeath,[]
MonsterNecromancerRaisable,[]
MonsterAuraRange,[]
MonsterTemporalChainsOnHit,[]
MonsterEnfeebleOnHit,[]
MonsterChanceToTemporalChainsOnHit,[]
MonsterChanceToVulnerabilityOnHit,[]
MonsterChanceToFlammabilityOnHit,[]
MonsterAuraAddedColdDamage,[]
MonsterAuraAddedFireDamage,[]
MonsterAuraAddedLightningDamage,[]
MonsterCastsFirestormText,[]
MonsterCastsPunctureText,[]
MonsterCastsColdsnapText,[]
MonsterCastsCriticalWeaknessCurseText,[]
MonsterCastsElementralWeaknessCurseText,[]
MonsterCastsEnfeebleCurseText,[]
MonsterCastsFireballText,[]
MonsterCastsIceNovaText,[]
MonsterCastsIceSpearText,[]
MonsterCastsMoltenShellText,[]
MonsterCastsProjectileWeaknessCurseText,[]
MonsterCastsShockNovaText,[]
MonsterCastsSparkText,[]
MonsterCastsVulnerabilityCurseText,[]
MonsterCastsWarlordsMarkCurseText,[]
MonsterCastsArcticBreathText,[]
MonsterCastsGlacialCascadeText,[]
MonsterDetonatesCorpsesText,[]
MonsterExplodes,[]
MonsterExplodesOnItsTargetText,[]
MonsterFiresRainOfArrowsText,[]
MonsterFiresBurningArrowsText,[]
MonsterFiresExplosiveArrowText,[]
MonsterFiresLightningArrowsText,[]
MonsterFiresCausticArrowsText,[]
MonsterFiresSplitArrowsText,[]
MonsterLeapsOntoEnemiesText,[]
MonsterRaisesUndeadText,[]
MonsterSummonsExplodingSpawnText,[]
MonsterSummonsMonkeysText,[]
MonsterSummonsSkeletonsText,[]
MonsterSummonsSpawnText,[]
MonsterUsesEnduringCryText,[]
MonsterUsesFlickerStrikeText,[]
MonsterUsesGlacialHammerText,[]
MonsterUsesGroundSlamText,[]
MonsterUsesLightningStrikeText,[]
MonsterUsesPhaseRunText,[]
MonsterCastsShieldChargeText,[]
MonsterCastsMassFrenzyText,[]
