Id,IsSupport,AllowedActiveSkillTypes,BaseEffectiveness,IncrementalEffectiveness,SupportGemLetter,Unknown0,AddedActiveSkillTypes,ExcludedActiveSkillTypes,SupportsGemsOnly,Unknown1,Unknown2,Unknown3,Unknown4,CastTime,ActiveSkillsKey,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,GrantedEffectsKey
ProphecyFireballBurst,False,[],1.5222f,0.0414f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
EssenceFireballBurst,False,[],1.5222f,0.0414f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ProphecyMultiFireball,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireballStrMissionBoss,False,[],0.5889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireballKaomsChest,False,[],1.5222f,0.0414f,,1,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterMultiFireball,False,[],0.7778f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterMultiFireballSpectre,False,[],0.7778f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterSplitFireball,False,[],0.9556f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterSplitFireballSpectre,False,[],0.9556f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterLesserMultiFireball,False,[],0.8889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterLesserMultiFireballSpectre,False,[],0.8889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireballGoatmanBoss,False,[],1.0222f,0.0339f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireballVaalSummonedSkeleton,False,[],1.1889f,0.0475f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
PyroFireball,False,[],1.1889f,0.0394f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
PyroFireballInvasion,False,[],1.1889f,0.0394f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BloodlinesYellowElementalPyroFireball,False,[],0.4467f,0.034f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
PyroFireballBossSideArea,False,[],1.0222f,0.0394f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
PyroChaosFireball,False,[],1.3556f,0.0285f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WbAnimatedItemChaosFireball,False,[],1.3556f,0.0285f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GladiatorBossFireball,False,[],0.9444f,0.048f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ExileFireball,False,[],0.9444f,0.048f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GemlingFireball,False,[],0.7778f,0.04f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ProphecyDragonFireball,False,[],1.7778f,0.0414f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
FrostfireMageDragonFireball,False,[],1.7778f,0.0414f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WestFireball,False,[],3f,0.0414f,,4,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
KitavaClericFireball,False,[],1.7778f,0.041f,,4,[],[],False,0,[],False,2,2300,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MetamorphKitavaClericFireballVaal,False,[],1.7778f,0.041f,,4,[],[],False,0,[],False,2,2300,"<45, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterFireballRepeat,False,[],1.1889f,0.0394f,,3,[],[],False,0,[],False,2,850,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ReliquaryMonsterFireball,False,[],3.8889f,0.04f,,3,[],[],False,0,[],False,2,2500,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
FireballIncusionFire,False,[],0.9722f,0.05f,,3,[],[],False,0,[],False,2,1200,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
FireballIncusionLightning,False,[],1.0938f,0.05f,,3,[],[],False,0,[],False,2,1200,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
FireballIncursionChaos,False,[],2f,0.025f,,3,[],[],False,0,[],False,2,1200,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
FireballTaowuDash,False,[],6.2f,0.04f,,3,[],[],False,0,[],False,2,1200,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
FireballTaowuCombo,False,[],2.33f,0.038f,,3,[],[],False,0,[],False,2,1830,"<44, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNova,False,[],1.7987f,0.0364f,,3,[],[],False,1291143349,[],False,2,700,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaRoyale,False,[],1.76f,0.0364f,,3,[],[],False,2306016370,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BloodNovaStrIntBoss,False,[],1.7727f,0.042f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaOnDamageTakenInvasion,False,[],1.7727f,0.042f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaOnHitCannibalMaleMapBoss,False,[],1.7727f,0.042f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaOnDeathWaterElemental,False,[],1.7727f,0.042f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaOnDeathStrMission,False,[],2.7273f,0.03f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
DarkSeawitchIceNova,False,[],1.7727f,0.042f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ProphecyBloodNova,False,[],1.95f,0.042f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
VaalIceNova,False,[],1.7987f,0.0364f,,3,[],[],False,549257270,[],False,2,700,"<42, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
TormentSpiritVaalIceNova,False,[],1.5f,0.042f,,3,[],[],False,0,[],False,2,800,"<42, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
StrMissionIceNovaTotem,False,[],1.2727f,0.0455f,,4,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WbIceNova,False,[],1.2727f,0.0455f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GhostIceNova,False,[],2.7273f,0.035f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
EssenceDaemonIceNovaRepeat,False,[],1.2727f,0.0455f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ProphecyIceNovaTotems,False,[],0.9727f,0.0333f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
TotemMapBossIceNovaTotems,False,[],0.9727f,0.0333f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaTrapSideAreaBoss,False,[],1.8182f,0.034f,,4,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaWaterElementalMap,False,[],1.0873f,0.034f,,4,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaWaterElemental,False,[],0.8364f,0.0304f,,4,[],[],False,0,[],False,2,1000,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaWaterElementalHellscape,False,[],0.8364f,0.0304f,,4,[],[],False,0,[],False,2,1000,"<986, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaWaterElementalMetamorphosis,False,[],0.8364f,0.0304f,,4,[],[],False,0,[],False,2,800,"<986, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IceNovaWaterElementalInvasion,False,[],0.8364f,0.0304f,,4,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterTotemIceNova,False,[],0.9727f,0.0333f,,4,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
PopUpTotemIceNova,False,[],1.4545f,0.052f,,4,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WbIceNovaSupport,False,[],0.9727f,0.0333f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WbIceNovaSupport2,False,[],0.9727f,0.0333f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
TotemBossTeamAAtollIceNovaChilledGround,False,[],2.9455f,0.06f,,3,[],[],False,0,[],False,2,3500,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
IzaroDaemonIceNova,False,[],1.3636f,0.035f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
TempestDaemonIceNova,False,[],4.5f,0.06f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ShrineIceNova,False,[],0.9727f,0.0333f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ShrineIceNovaPlayer,False,[],0.9727f,0.0333f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
EssenceDaemonIceNova,False,[],0.9727f,0.0333f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WestIceNovaDaemon,False,[],1.5f,0.038f,,3,[],[],False,0,[],False,2,500,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WestIceNovaAttachedDaemon,False,[],2.5f,0.04f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WestIceNovaTriggered,False,[],0.9313f,0.05f,,3,[],[],False,0,[],False,2,2800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ChestIceNova,False,[],3.1818f,0.062f,,3,[],[],False,0,[],False,2,800,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
VaalIncursionIceNova,False,[],3.1818f,0.062f,,3,[],[],False,0,[],False,2,3430,"<41, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
LeapSlam,False,[],0f,0f,,1,[],[],False,2442858200,[],False,2,1400,"<14, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
LeapSlamRoyale,False,[],0f,0f,,1,[],[],False,3069468772,[],False,2,1400,"<14, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
DarkExileLeapSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1400,"<14, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
KaomLeapSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1400,"<14, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
Sweep,False,[],0.67f,0.0233f,,1,[],[],False,1827840414,[],False,2,1150,"<0, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
SweepRoyale,False,[],0.67f,0.023f,,1,[],[],False,4093864503,[],False,2,1150,"<0, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
VaalSweep,False,[],0f,0f,,1,[],[],False,168077491,[],False,2,1150,"<1, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ExileSweep,False,[],0f,0f,,1,[],[],False,0,[],False,2,1150,"<0, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WbLightningEliteSweep,False,[],0f,0f,,1,[],[],False,0,[],False,2,1150,"<0, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BanditSweep,False,[],0f,0f,,4,[],[],False,0,[],False,2,1150,"<0, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
SkeletonBossCrossroadsSweep,False,[],0f,0f,,4,[],[],False,0,[],False,2,1150,"<0, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ExileVaalGroundSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<3, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GladiatorBossEliteVaalGroundSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<3, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WbVaalGroundSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<3, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
DarkExileVaalGroundSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<3, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BullBossVaalGroundSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<3, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemMonsterSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemSlamTriggered1,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemSlamTriggered2,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemSlamTriggered3,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemSlamTriggered4,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemSlamTriggered5,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemSlamTriggered6,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ScorpionBurrowSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GoatmanMonsterSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
RockGolemSlamMinotaur,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
CoralGolemSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<985, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
DemonModularSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BestiaryBeastMonsterSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
SentinelHolySlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
SentinelHolySlamBloodGuard,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
SentinelHolySlamFaithGuard,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
SentinelHolySlamCelestial,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
SentinelHolySlamCelestialDominating,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
SentinelHolySlamDemonic,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
SentinelHolySlamEmpyrean,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
SentinelHolySlamPolarisWhite,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
SentinelHolySlamDragonHunter,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
BetrayalSentinelUnholySlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<51, 0>","<null, null>",False,[],<null>
DjinnSlam,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<589, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GroundSlamBrute,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GroundSlamStatue,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GroundSlamStatueInvasion,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BloodlinesMudElementalGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BloodlinesBloodElementalBloodGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ProphecyBloodGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ExileGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AxisBossGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
DropBearSummonedGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ShieldCrabGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WbGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
WbGroundSlamFireElite,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
ProphecyZombieGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
KaruiSpiritGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
TalismanGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
DarkExileGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BestiaryKiwethGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
KaomWarriorGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<323, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
KaomWarriorGroundSlamSynthesis,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<323, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
HellionGreustGroundSlam,False,[],0f,0f,,4,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GroundSlamBeast,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
GroundSlamFormosanBeastiary,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<2, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AbyssBoneHuskSpellNova,False,[],2f,0.03f,,4,[],[],False,0,[],False,2,1000,"<879, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AbyssUndyingSpellNova,False,[],1.5f,0.033f,,4,[],[],False,0,[],False,2,1000,"<879, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
BestiaryChimeraSpiritSpellNova,False,[],1.5f,0.033f,,4,[],[],False,0,[],False,2,1000,"<879, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
AbyssLichBoss2SpellNova,False,[],1.25f,0.04f,,4,[],[],False,0,[],False,2,1000,"<879, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
Cleave,False,[],0.67f,0.0233f,,1,[],[],False,3744575288,[],False,2,1000,"<6, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
CleaveRoyale,False,[],0.67f,0.0233f,,1,[],[],False,105969870,[],False,2,1000,"<6, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterCleave,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<6, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
MonsterCleaveWithEffect,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<6, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
VaalSideAreaBossVendigoCleave,False,[],0f,0f,,1,[],[],False,0,[],False,2,1000,"<6, 0>",False,False,[],"<null, null>","<null, null>",False,[],<null>
