Id,Unknown0,Unknown1,UnlockType,CraftingItemClassCategoriesKeys,ObtainingDescription
JunFireAndChaosDamageResistance,1,"[1, 1, 1]",Feuer- und Chaoswiderstand - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Enthüllen: Waffen, Körperrüstungen, Handschuhe, Stiefel, Helme, Schilde, Ringe, Amulette, Gürtel oder Köcher"
JunLightningAndChaosDamageResistance,1,"[1, 1, 1]",Blitz- und Chaoswiderstand - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Enthüllen: Waffen, Körperrüstungen, Handschuhe, Stiefel, Helme, Schilde, Ringe, Amulette, Gürtel oder Köcher"
JunColdAndChaosDamageResistance,1,"[1, 1, 1]",Kälte- und Chaoswiderstand - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <7, 0>, <8, 0>, <5, 0>, <4, 0>, <9, 0>, <10, 0>, <11, 0>, <13, 0>]","Enthüllen: Waffen, Körperrüstungen, Handschuhe, Stiefel, Helme, Schilde, Ringe, Amulette, Gürtel oder Köcher"
JunStrengthAndLocalItemQuality,1,"[1, 1, 1]",Stärke und Entzünden vermeiden - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <4, 0>]","Enthüllen: Waffen, Körperrüstungen oder Schilde"
JunDexterityAndLocalItemQuality,1,"[1, 1, 1]",Geschick und Einfrieren vermeiden - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <4, 0>]","Enthüllen: Waffen, Körperrüstungen oder Schilde"
JunIntelligenceAndLocalItemQuality,1,"[1, 1, 1]",Intelligenz und Schock vermeiden - Rang,"[<0, 0>, <1, 0>, <2, 0>, <3, 0>, <6, 0>, <4, 0>]","Enthüllen: Waffen, Körperrüstungen oder Schilde"
JunLifeRegenerationRatePerMinuteWhileUsingFlask,1,"[1, 1, 1]",Lebensregenerations-Rate während Fläschchenwirkung - Rang,"[<11, 0>]",Enthüllen: Gürtel
JunPercentageLifeAndMana,1,[1],Erhöhtes Leben und Mana,"[<6, 0>]",Enthüllen: Körperrüstungen
JunBlockPercent,1,[1],"Chance, Angriffsschaden zu blocken","[<6, 0>]",Enthüllen: Körperrüstungen
JunSpellDodgePercentage,1,[1],"Chance, Zauberschaden zu blocken","[<6, 0>]",Enthüllen: Körperrüstungen
JunAvoidStunAndElementalStatusAilments,1,[1],Betäubung und elementare Beeinträchtigungen vermeiden,"[<6, 0>]",Enthüllen: Körperrüstungen